Algorithm,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Setup,431,26,27,25,30,32,35,37,34,35,40,37,38,40,40,52,45,45,51,51,50,51,61,56,63,67,68,60,69,83,78,73,73,75,78,81,80,83,82,94,76,80,79,79,81,83,87
KeyGen_init,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KeyGen_out,185,183,219,214,239,301,328,339,362,385,411,453,485,515,535,573,635,631,669,693,747,753,805,839,874,895,955,980,1069,1098,1173,1148,1177,1283,1442,1322,1314,1329,1436,1374,1252,2088,1338,1335,1372,1406,1439
KeyGen_in,39,33,33,31,29,33,38,33,29,29,29,31,29,29,31,30,34,31,29,30,34,29,30,35,33,32,31,33,32,37,33,32,33,34,35,33,32,33,33,28,29,28,28,29,29,28,28
Encrypt,84,83,96,95,104,121,136,133,145,155,169,172,181,198,206,222,258,243,271,259,267,281,296,337,310,333,349,370,402,451,426,415,420,449,466,453,461,486,509,436,447,454,462,479,477,486,505
Index,77,73,78,68,64,78,79,67,66,68,66,65,66,67,69,70,66,68,70,65,67,79,64,74,68,67,70,72,77,96,73,75,72,72,74,70,81,71,79,63,64,61,63,62,63,66,63
Trapdoor,44,43,46,46,41,44,52,42,43,41,41,42,41,41,48,41,42,43,46,43,42,43,45,44,42,45,46,55,46,59,47,47,46,45,47,45,46,48,52,40,51,39,40,40,41,42,40
Test,70,63,69,92,94,111,127,120,129,145,145,160,167,180,204,198,212,223,231,247,252,263,272,316,307,317,314,410,351,422,379,405,397,413,434,432,442,457,496,414,526,446,443,454,462,485,478
Q_CT_Computation,54,52,59,82,84,98,115,110,119,134,135,150,157,171,193,188,202,213,221,237,242,252,263,305,296,307,304,399,340,409,369,393,386,402,422,421,431,446,484,404,517,436,433,444,452,476,469
k_kw_Computation,16,11,10,10,10,13,12,10,10,11,10,10,10,9,11,10,10,10,10,10,10,11,9,11,11,10,10,11,11,13,10,12,11,11,12,11,11,11,12,10,9,10,10,10,10,9,9
