Algorithm,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Setup,537,103,122,131,311,544,453,330,198,210,239,216,214,273,396,220,163,133,114,114,120,117,124,110,108,106,103,105,106,108,112,116,120,136,132,126,126,130,154,134,128,133,128,137,135,137,156
EKGen,341,1370,389,783,1268,2406,1212,1585,1522,2046,1434,1616,2057,1723,2010,1922,1191,1041,958,1372,1186,1167,1135,1216,1038,1049,1058,1071,1099,1127,1451,1263,1472,1510,1435,1447,1484,1517,1713,1581,1793,1795,1799,1686,1893,1680,2087
DKGen,372,768,546,1056,2277,4667,2151,2215,1906,2350,2659,2540,2974,2523,3017,2234,1902,1821,1544,1837,1997,1785,1838,1959,1608,1646,1655,1960,1731,1795,1949,2196,3327,2573,2469,2528,2619,2585,2649,2927,2596,2484,2616,2696,2703,2632,3701
Encrypt,641,539,1485,1568,2895,8152,2931,2440,3173,3125,3846,3298,4189,4312,3807,2166,2198,1873,1986,2039,2152,2412,2183,2025,2284,2009,2094,2062,2438,2300,2446,2455,3582,2885,2794,2857,3062,3127,3196,3091,3121,3041,3350,3342,3580,5444,4204
Verify,526,258,555,743,1639,2764,915,946,1277,1398,1332,1444,1701,1618,1962,1228,936,803,956,891,955,937,979,877,927,1009,936,931,995,1017,1134,1127,1389,1258,1273,1300,1370,1546,1453,1370,1441,1422,1519,1766,1638,1785,2077
Decrypt,94,91,217,281,673,491,415,285,380,449,411,467,907,627,562,368,314,297,302,318,334,347,331,314,318,411,320,333,343,368,389,441,464,449,446,462,479,524,501,487,505,489,749,584,542,655,737
DelRequest,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ReKeyGen,18,17,30,27,51,31,37,29,35,26,29,31,34,106,48,20,15,13,13,14,14,13,12,12,12,12,11,10,11,10,10,11,13,11,12,11,11,11,11,11,10,10,11,11,11,12,12
ReEncrypt,18,23,27,31,31,28,34,23,29,29,29,28,33,93,33,17,14,13,13,13,13,13,12,11,10,10,10,10,10,10,13,11,12,12,11,11,11,19,11,10,12,11,11,10,10,13,13
VerifyRevocation,16,22,22,30,27,26,52,29,30,25,27,34,33,41,31,19,15,13,15,13,14,13,12,11,11,11,10,10,10,11,13,11,13,12,11,11,11,10,11,11,10,10,10,12,10,12,12
