Algorithm,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Setup,187,32,46,33,34,33,33,35,35,34,35,34,35,35,35,35,35,37,37,36,39,52,43,54,49,47,47,56,47,48,41,61,39,59,47,41,39,39,39,41,37,38,39,37,38,39,38
KeyGen,11,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,10,13,12,12,11,14,13,11,10,13,9,13,11,10,10,9,9,9,9,10,9,9,9,9,9
TKGen,1602,1601,1852,2394,2703,3035,3320,3607,3921,4778,5090,5495,5792,6104,6505,6801,7146,7825,8354,8730,9981,10640,11034,17617,13965,14984,15811,19043,14412,15185,14550,15405,15080,22240,17783,16815,16766,16377,17272,19607,17142,17847,17892,18223,18616,18938,19311
KUGen,20,19,19,19,19,19,19,19,19,19,19,19,20,19,19,19,19,21,20,20,22,22,21,30,21,24,24,31,21,23,20,21,20,26,23,21,20,20,20,22,20,19,19,20,19,19,19
TKUpdate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EKGen,200,217,259,297,332,375,406,445,484,526,562,597,634,675,715,748,786,1008,909,962,1144,1184,1131,1760,1297,1627,1498,2057,1373,1568,1426,1534,1516,2019,1770,1683,1638,1718,1766,1932,1808,1759,1772,1827,1840,1885,1925
Enc,520,583,692,772,858,940,1029,1114,1258,1329,1368,1457,1614,1623,1717,1804,1941,2038,2106,2326,2793,2694,2696,4218,2960,3616,3619,4612,3177,3646,3330,3604,3709,4504,4095,3952,3797,3841,3920,4381,4015,4175,4131,4213,4288,4410,4461
CTUpdate,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,4,1,2,2,2,1,2,1,2,4,2,2,1,1,2,2,2,1,1,1,1,1,1,2
Verify,62,61,60,60,60,60,59,59,59,59,60,60,58,59,59,60,59,64,64,62,74,67,64,98,62,82,78,91,65,79,63,122,74,77,70,68,73,75,71,75,69,71,70,70,69,69,80
Transfer,24,24,23,23,23,23,23,23,23,23,24,23,23,23,23,23,23,25,23,24,29,26,25,38,24,33,30,48,25,28,24,39,28,33,27,26,24,25,24,25,23,23,24,23,23,23,23
Dec,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
Rev,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
